TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,93.4655
400.1569,93.3094
401.1211,93.0723
402.0854,92.8051
403.0496,92.5397
404.0138,92.3062
404.9781,92.1379
405.9423,92.0593
406.9065,92.0647
407.8708,92.1119
408.8350,92.1422
409.7992,92.1134
410.7635,92.0241
411.7277,91.9094
412.6919,91.8105
413.6562,91.7435
414.6204,91.693
415.5846,91.6292
416.5489,91.5301
417.5131,91.3975
418.4773,91.2567
419.4416,91.1302
420.4058,91.0091
421.3700,90.8682
422.3343,90.6992
423.2985,90.5222
424.2627,90.3718
425.2270,90.2758
426.1912,90.2389
427.1554,90.2428
428.1197,90.2635
429.0839,90.2899
430.0481,90.3278
431.0124,90.3885
431.9766,90.4758
432.9408,90.5812
433.9051,90.693
434.8693,90.8081
435.8335,90.9349
436.7978,91.0829
437.7620,91.2503
438.7262,91.4192
439.6905,91.5644
440.6547,91.6675
441.6189,91.7279
442.5832,91.7673
443.5474,91.8213
444.5116,91.9208
445.4759,92.076
446.4401,92.273
447.4043,92.4841
448.3686,92.6822
449.3328,92.8517
450.2970,92.9925
451.2613,93.1152
452.2255,93.2312
453.1897,93.3431
454.1540,93.4402
455.1182,93.502
456.0824,93.5067
457.0467,93.4445
458.0109,93.3287
458.9751,93.195
459.9394,93.0853
460.9036,93.0298
461.8678,93.0426
462.8321,93.1264
463.7963,93.2736
464.7605,93.4628
465.7248,93.6548
466.6890,93.799
467.6532,93.8499
468.6175,93.7851
469.5817,93.618
470.5459,93.3999
471.5102,93.2077
472.4744,93.1124
473.4386,93.1393
474.4029,93.2524
475.3671,93.3788
476.3313,93.451
477.2956,93.4373
478.2598,93.3492
479.2240,93.2283
480.1883,93.1226
481.1525,93.0628
482.1167,93.0529
483.0810,93.0751
484.0452,93.1051
485.0094,93.1252
485.9737,93.1288
486.9379,93.1158
487.9021,93.0867
488.8664,93.041
489.8306,92.981
490.7948,92.9162
491.7591,92.8606
492.7233,92.8255
493.6875,92.8101
494.6518,92.7989
495.6160,92.7685
496.5802,92.6981
