TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,83.15
401.1211,83.8243
403.0496,84.5625
404.9781,85.2609
406.9065,85.8178
408.8350,86.1469
410.7635,86.1879
412.6919,85.9152
414.6204,85.353
416.5489,84.5935
418.4773,83.7992
420.4058,83.1529
422.3343,82.7744
424.2627,82.6792
426.1912,82.8049
428.1197,83.0541
430.0481,83.3156
431.9766,83.4761
433.9051,83.4404
435.8335,83.1633
437.7620,82.6668
439.6905,82.025
441.6189,81.3291
443.5474,80.6631
445.4759,80.105
447.4043,79.7368
449.3328,79.6387
451.2613,79.8573
453.1897,80.3602
455.1182,81.0097
457.0467,81.5971
458.9751,81.9544
460.9036,82.0755
462.8321,82.1336
464.7605,82.3784
466.6890,82.9994
468.6175,84.0392
470.5459,85.3848
472.4744,86.8347
474.4029,88.2069
476.3313,89.412
478.2598,90.4456
480.1883,91.3301
482.1167,92.0718
484.0452,92.6598
485.9737,93.0879
487.9021,93.3674
489.8306,93.5189
491.7591,93.556
493.6875,93.4849
495.6160,93.3232
497.5445,93.1198
499.4729,92.9543
501.4014,92.9072
503.3299,93.0165
505.2583,93.2505
507.1868,93.5221
509.1153,93.734
511.0437,93.8255
512.9722,93.7921
514.9007,93.6731
516.8292,93.5199
518.7576,93.3648
520.6861,93.206
522.6146,93.0154
524.5430,92.7608
526.4715,92.4277
528.4000,92.032
530.3284,91.6201
532.2569,91.2605
534.1854,91.0269
536.1138,90.979
538.0423,91.1433
539.9708,91.5035
541.8992,92.0043
543.8277,92.5707
545.7562,93.1338
547.6846,93.6499
549.6131,94.1041
551.5416,94.499
553.4700,94.836
555.3985,95.1034
557.3270,95.2777
559.2554,95.3385
561.1839,95.2851
563.1124,95.1447
565.0408,94.9618
566.9693,94.7738
568.8978,94.5866
570.8262,94.3672
572.7547,94.0622
574.6832,93.6347
576.6116,93.0993
578.5401,92.533
580.4686,92.0527
582.3970,91.7661
584.3255,91.7246
586.2540,91.903
588.1824,92.2161
590.1109,92.5615
592.0394,92.8643
593.9678,93.1026
595.8963,93.3029
