TITLE SAMPLE NAME:,Polyethylene Low Density (bags, packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,97.7101
400.1569,98.6651
401.1211,99.5939
402.0854,100.316
403.0496,100.792
404.0138,101.075
404.9781,101.252
405.9423,101.412
406.9065,101.605
407.8708,101.838
408.8350,102.087
409.7992,102.329
410.7635,102.542
411.7277,102.691
412.6919,102.715
413.6562,102.532
414.6204,102.069
415.5846,101.301
416.5489,100.302
417.5131,99.3027
418.4773,98.6508
419.4416,98.5666
420.4058,98.9203
421.3700,99.3837
422.3343,99.7321
423.2985,99.935
424.2627,100.078
425.2270,100.26
426.1912,100.521
427.1554,100.828
428.1197,101.108
429.0839,101.302
430.0481,101.392
431.0124,101.395
431.9766,101.341
432.9408,101.258
433.9051,101.167
434.8693,101.092
435.8335,101.056
436.7978,101.067
437.7620,101.108
438.7262,101.144
439.6905,101.142
440.6547,101.096
441.6189,101.038
442.5832,101.027
443.5474,101.114
444.5116,101.314
445.4759,101.588
446.4401,101.865
447.4043,102.068
448.3686,102.146
449.3328,102.087
450.2970,101.925
451.2613,101.716
452.2255,101.515
453.1897,101.351
454.1540,101.223
455.1182,101.132
456.0824,101.099
457.0467,101.18
458.0109,101.422
458.9751,101.811
459.9394,102.255
460.9036,102.629
461.8678,102.848
462.8321,102.898
463.7963,102.836
464.7605,102.75
465.7248,102.716
466.6890,102.747
467.6532,102.795
468.6175,102.792
469.5817,102.71
470.5459,102.59
471.5102,102.53
472.4744,102.623
473.4386,102.883
474.4029,103.236
475.3671,103.571
476.3313,103.811
477.2956,103.94
478.2598,103.98
479.2240,103.963
480.1883,103.902
481.1525,103.8
482.1167,103.672
483.0810,103.558
484.0452,103.516
485.0094,103.579
485.9737,103.724
486.9379,103.873
487.9021,103.937
488.8664,103.867
489.8306,103.675
490.7948,103.43
491.7591,103.231
492.7233,103.156
493.6875,103.227
494.6518,103.406
495.6160,103.612
496.5802,103.756
497.5445,103.773
498.5087,103.642
499.4729,103.395
500.4372,103.111
501.4014,102.884
502.3656,102.783
503.3299,102.821
504.2941,102.951
505.2583,103.1
506.2226,103.215
507.1868,103.28
508.1510,103.312
509.1153,103.344
510.0795,103.391
511.0437,103.438
512.0080,103.449
512.9722,103.382
513.9365,103.217
514.9007,102.976
515.8649,102.725
516.8292,102.554
517.7934,102.543
518.7576,102.707
519.7219,102.982
520.6861,103.252
521.6503,103.416
522.6146,103.424
523.5788,103.301
524.5430,103.126
525.5073,102.997
526.4715,102.981
527.4357,103.079
528.4000,103.234
529.3642,103.371
530.3284,103.441
531.2927,103.435
532.2569,103.38
533.2211,103.317
534.1854,103.276
535.1496,103.267
536.1138,103.277
537.0781,103.289
538.0423,103.289
539.0065,103.276
539.9708,103.259
540.9350,103.249
541.8992,103.251
542.8635,103.26
543.8277,103.267
544.7919,103.262
545.7562,103.243
546.7204,103.219
547.6846,103.208
548.6489,103.231
549.6131,103.3
550.5773,103.413
551.5416,103.552
552.5058,103.694
553.4700,103.821
554.4343,103.926
555.3985,104.021
556.3627,104.12
557.3270,104.227
558.2912,104.337
559.2554,104.432
560.2197,104.495
561.1839,104.517
562.1481,104.493
563.1124,104.424
564.0766,104.312
565.0408,104.165
566.0051,104.006
566.9693,103.873
567.9335,103.804
568.8978,103.815
569.8620,103.886
570.8262,103.966
571.7905,103.997
572.7547,103.947
573.7189,103.818
574.6832,103.643
575.6474,103.467
576.6116,103.323
577.5759,103.224
578.5401,103.165
579.5043,103.136
580.4686,103.131
581.4328,103.149
582.3970,103.19
583.3613,103.248
584.3255,103.316
585.2897,103.379
586.2540,103.42
587.2182,103.424
588.1824,103.387
589.1467,103.314
590.1109,103.23
591.0751,103.171
592.0394,103.165
593.0036,103.22
593.9678,103.316
594.9321,103.415
595.8963,103.481
596.8605,103.5
597.8248,103.479
598.7890,103.443
599.7532,103.419
600.7175,103.422
601.6817,103.451
602.6459,103.493
603.6102,103.534
604.5744,103.567
605.5386,103.588
606.5029,103.601
607.4671,103.611
608.4313,103.627
609.3956,103.651
610.3598,103.678
611.3240,103.691
612.2883,103.665
613.2525,103.577
614.2167,103.426
615.1810,103.239
616.1452,103.075
617.1094,102.993
618.0737,103.027
619.0379,103.159
620.0021,103.329
