TITLE SAMPLE NAME:,Polyethylene Terephthalate (bottles, containers)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,90.8677
401.1211,91.4455
403.0496,92.0694
404.9781,92.5912
406.9065,92.9359
408.8350,93.0846
410.7635,93.0492
412.6919,92.863
414.6204,92.5853
416.5489,92.3066
418.4773,92.1256
420.4058,92.0949
422.3343,92.1859
424.2627,92.3179
426.1912,92.417
428.1197,92.4507
430.0481,92.4293
431.9766,92.3892
433.9051,92.3723
435.8335,92.4064
437.7620,92.4983
439.6905,92.642
441.6189,92.8285
443.5474,93.0464
445.4759,93.2735
447.4043,93.4742
449.3328,93.6125
451.2613,93.6739
453.1897,93.6796
455.1182,93.684
457.0467,93.7468
458.9751,93.8924
460.9036,94.087
462.8321,94.2606
464.7605,94.3536
466.6890,94.3529
468.6175,94.2957
470.5459,94.2466
472.4744,94.2571
474.4029,94.3338
476.3313,94.439
478.2598,94.5204
480.1883,94.5436
482.1167,94.5045
484.0452,94.4233
485.9737,94.3282
487.9021,94.2407
489.8306,94.1665
491.7591,94.0969
493.6875,94.0159
495.6160,93.9118
497.5445,93.7874
499.4729,93.6671
501.4014,93.592
503.3299,93.6027
505.2583,93.715
507.1868,93.9065
509.1153,94.1237
511.0437,94.3072
512.9722,94.418
514.9007,94.4529
516.8292,94.4421
518.7576,94.4317
520.6861,94.4597
522.6146,94.5399
524.5430,94.6616
526.4715,94.801
528.4000,94.9347
530.3284,95.0479
532.2569,95.136
534.1854,95.2008
536.1138,95.2466
538.0423,95.2773
539.9708,95.2958
541.8992,95.3052
543.8277,95.3112
545.7562,95.3223
547.6846,95.3489
549.6131,95.3995
551.5416,95.4749
553.4700,95.5665
555.3985,95.6577
557.3270,95.731
559.2554,95.7754
561.1839,95.7907
563.1124,95.7855
565.0408,95.771
566.9693,95.754
568.8978,95.7344
570.8262,95.7071
572.7547,95.6679
574.6832,95.6191
576.6116,95.5702
578.5401,95.5343
580.4686,95.5207
582.3970,95.5291
584.3255,95.5496
586.2540,95.5676
588.1824,95.5725
590.1109,95.5628
592.0394,95.5463
593.9678,95.534
595.8963,95.5342
597.8248,95.549
599.7532,95.5747
601.6817,95.6046
603.6102,95.6305
605.5386,95.643
607.4671,95.6326
609.3956,95.594
611.3240,95.5302
613.2525,95.4554
615.1810,95.3904
617.1094,95.3534
619.0379,95.3482
620.9664,95.3604
622.8948,95.3646
624.8233,95.3388
626.7518,95.2762
628.6802,95.1887
630.6087,95.0989
632.5372,95.0252
634.4656,94.9708
636.3941,94.9214
638.3226,94.8553
640.2510,94.7572
642.1795,94.6267
644.1080,94.4773
646.0364,94.3279
647.9649,94.1949
649.8934,94.0913
651.8218,94.0292
653.7503,94.017
655.6788,94.0489
657.6072,94.0962
659.5357,94.1111
661.4642,94.0419
663.3926,93.8531
665.3211,93.5521
667.2496,93.2112
669.1780,92.9477
671.1065,92.8409
673.0350,92.8701
674.9634,92.9509
676.8919,93.0076
678.8204,93.0087
680.7488,92.9645
682.6773,92.9068
684.6058,92.8627
686.5342,92.8352
688.4627,92.8054
690.3912,92.7496
692.3196,92.6548
694.2481,92.5232
696.1766,92.3662
698.1050,92.1965
700.0335,92.023
701.9620,91.8506
703.8904,91.681
705.8189,91.5109
707.7474,91.3295
709.6758,91.1185
711.6043,90.8583
713.5328,90.5411
715.4612,90.1845
717.3897,89.8396
719.3182,89.5832
721.2466,89.4955
723.1751,89.6311
725.1036,90.0025
727.0320,90.5821
728.9605,91.3207
730.8890,92.165
732.8174,93.0672
734.7459,93.984
736.6744,94.8719
738.6028,95.6849
740.5313,96.379
742.4598,96.9221
744.3882,97.3019
746.3167,97.5297
748.2452,97.6355
750.1736,97.6576
752.1021,97.6325
754.0306,97.5869
755.9590,97.5353
757.8875,97.4818
759.8160,97.4244
761.7444,97.3598
763.6729,97.2867
765.6014,97.2071
767.5298,97.1247
769.4583,97.0433
771.3868,96.9647
773.3152,96.8891
775.2437,96.8155
777.1722,96.7419
779.1006,96.6646
781.0291,96.5788
782.9576,96.4802
784.8860,96.3711
786.8145,96.2638
788.7430,96.1803
790.6714,96.1444
792.5999,96.1705
794.5284,96.2544
796.4568,96.3732
798.3853,96.4945
800.3138,96.5895
802.2422,96.6438
