TITLE SAMPLE NAME:,Polypropylene (medicine containers, plastics caps, containers, makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,94.8306
400.1569,95.0095
401.1211,95.5737
402.0854,96.3289
403.0496,97.0749
404.0138,97.6506
404.9781,97.9645
405.9423,98.0194
406.9065,97.9072
407.8708,97.7558
408.8350,97.661
409.7992,97.6506
410.7635,97.6976
411.7277,97.7589
412.6919,97.8074
413.6562,97.8349
414.6204,97.8337
415.5846,97.7792
416.5489,97.6347
417.5131,97.3865
418.4773,97.0967
419.4416,96.8959
420.4058,96.874
421.3700,97.0071
422.3343,97.2101
423.2985,97.4108
424.2627,97.576
425.2270,97.7057
426.1912,97.8154
427.1554,97.9161
428.1197,98.0025
429.0839,98.0555
430.0481,98.0528
431.0124,97.9826
431.9766,97.8523
432.9408,97.6895
433.9051,97.5374
434.8693,97.4418
435.8335,97.4335
436.7978,97.5103
437.7620,97.6341
438.7262,97.7463
439.6905,97.7955
440.6547,97.7596
441.6189,97.6531
442.5832,97.5168
443.5474,97.3924
444.5116,97.299
445.4759,97.2276
446.4401,97.1571
447.4043,97.0725
448.3686,96.9722
449.3328,96.8637
450.2970,96.7566
451.2613,96.6585
452.2255,96.5732
453.1897,96.5003
454.1540,96.4347
455.1182,96.3672
456.0824,96.2904
457.0467,96.2088
458.0109,96.1454
458.9751,96.1341
459.9394,96.1991
460.9036,96.3403
461.8678,96.5357
462.8321,96.7523
463.7963,96.9561
464.7605,97.1199
465.7248,97.2296
466.6890,97.2865
467.6532,97.302
468.6175,97.2907
469.5817,97.2673
470.5459,97.2497
471.5102,97.2632
472.4744,97.3341
473.4386,97.4738
474.4029,97.664
475.3671,97.8607
476.3313,98.0126
477.2956,98.0831
478.2598,98.0642
479.2240,97.9792
480.1883,97.8726
481.1525,97.7904
482.1167,97.762
483.0810,97.7915
484.0452,97.8614
485.0094,97.9437
485.9737,98.0139
486.9379,98.0603
487.9021,98.0833
488.8664,98.0894
489.8306,98.0849
490.7948,98.0728
491.7591,98.0534
492.7233,98.0297
493.6875,98.0107
494.6518,98.01
495.6160,98.0382
496.5802,98.094
497.5445,98.1619
498.5087,98.2189
499.4729,98.2463
500.4372,98.242
501.4014,98.2215
502.3656,98.2076
503.3299,98.2133
504.2941,98.2335
505.2583,98.2508
506.2226,98.2507
507.1868,98.2326
508.1510,98.209
509.1153,98.1958
510.0795,98.2001
511.0437,98.2156
512.0080,98.2266
512.9722,98.2175
513.9365,98.1783
514.9007,98.1086
515.8649,98.0179
516.8292,97.9254
517.7934,97.8563
518.7576,97.8317
519.7219,97.8572
520.6861,97.9183
521.6503,97.9876
522.6146,98.0371
523.5788,98.0499
524.5430,98.0274
525.5073,97.9883
526.4715,97.9591
527.4357,97.958
528.4000,97.9859
529.3642,98.0293
530.3284,98.0711
531.2927,98.0999
532.2569,98.1132
533.2211,98.1154
534.1854,98.1127
535.1496,98.1093
536.1138,98.106
537.0781,98.1028
538.0423,98.1001
539.0065,98.1004
539.9708,98.1067
540.9350,98.121
541.8992,98.143
542.8635,98.1703
543.8277,98.1995
544.7919,98.2275
545.7562,98.2532
546.7204,98.2776
547.6846,98.3032
548.6489,98.3315
549.6131,98.3602
550.5773,98.383
551.5416,98.3909
552.5058,98.377
553.4700,98.341
554.4343,98.291
555.3985,98.2413
556.3627,98.2064
557.3270,98.1956
558.2912,98.2101
559.2554,98.2439
560.2197,98.2874
561.1839,98.3299
562.1481,98.3609
563.1124,98.3712
564.0766,98.3546
565.0408,98.3112
566.0051,98.2497
566.9693,98.1864
567.9335,98.1396
568.8978,98.1209
569.8620,98.1294
570.8262,98.1523
571.7905,98.1726
572.7547,98.1774
573.7189,98.1631
574.6832,98.1349
575.6474,98.1018
576.6116,98.0712
577.5759,98.0449
578.5401,98.0197
579.5043,97.991
580.4686,97.9563
581.4328,97.9173
582.3970,97.8792
583.3613,97.8478
584.3255,97.8258
585.2897,97.8108
586.2540,97.7958
587.2182,97.7735
588.1824,97.7417
589.1467,97.7059
590.1109,97.6793
591.0751,97.6756
592.0394,97.7011
593.0036,97.7493
593.9678,97.8032
594.9321,97.8454
595.8963,97.8677
596.8605,97.8754
597.8248,97.884
598.7890,97.9104
599.7532,97.9648
