TITLE SAMPLE NAME:,Polypropylene (medicine containers-plastics caps-containers-makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,73.775
401.1211,76.8144
403.0496,79.5715
404.9781,81.6874
406.9065,83.023
408.8350,83.6146
410.7635,83.6242
412.6919,83.3037
414.6204,82.9554
416.5489,82.8602
418.4773,83.1641
420.4058,83.7954
422.3343,84.526
424.2627,85.1424
426.1912,85.5607
428.1197,85.8204
430.0481,86.0228
431.9766,86.2678
433.9051,86.6059
435.8335,87.0176
437.7620,87.4331
439.6905,87.7826
441.6189,88.044
443.5474,88.2528
445.4759,88.4708
447.4043,88.737
449.3328,89.0409
451.2613,89.3336
453.1897,89.5675
455.1182,89.7376
457.0467,89.8997
458.9751,90.1445
460.9036,90.5361
462.8321,91.064
464.7605,91.65
466.6890,92.1922
468.6175,92.6145
470.5459,92.8966
472.4744,93.077
474.4029,93.2262
476.3313,93.4102
478.2598,93.6714
480.1883,94.0305
482.1167,94.4899
484.0452,95.0252
485.9737,95.5723
487.9021,96.034
489.8306,96.3138
491.7591,96.3634
493.6875,96.2122
495.6160,95.9595
497.5445,95.7346
499.4729,95.6422
501.4014,95.7178
503.3299,95.914
505.2583,96.1255
507.1868,96.2434
509.1153,96.206
511.0437,96.0209
512.9722,95.7535
514.9007,95.495
516.8292,95.3234
518.7576,95.2736
520.6861,95.3276
522.6146,95.4314
524.5430,95.5267
526.4715,95.5775
528.4000,95.5798
530.3284,95.5534
532.2569,95.5253
534.1854,95.5147
536.1138,95.5265
538.0423,95.5532
539.9708,95.583
541.8992,95.6075
543.8277,95.6268
545.7562,95.6502
547.6846,95.6928
549.6131,95.77
551.5416,95.8911
553.4700,96.0552
555.3985,96.2496
557.3270,96.453
559.2554,96.6414
561.1839,96.7955
563.1124,96.9043
565.0408,96.9652
566.9693,96.9804
568.8978,96.9547
570.8262,96.8967
572.7547,96.8232
574.6832,96.7596
576.6116,96.733
578.5401,96.7594
580.4686,96.8315
582.3970,96.9188
584.3255,96.983
586.2540,97.001
588.1824,96.9808
590.1109,96.9577
592.0394,96.9733
593.9678,97.0479
