TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,92.1497
400.1569,93.424
401.1211,94.7118
402.0854,95.8559
403.0496,96.8087
404.0138,97.5761
404.9781,98.1734
405.9423,98.6031
406.9065,98.8549
407.8708,98.9226
408.8350,98.8268
409.7992,98.6252
410.7635,98.3976
411.7277,98.2064
412.6919,98.0568
413.6562,97.8914
414.6204,97.6272
415.5846,97.209
416.5489,96.6606
417.5131,96.1225
418.4773,95.8168
419.4416,95.8871
420.4058,96.2576
421.3700,96.7234
422.3343,97.1338
423.2985,97.4489
424.2627,97.6938
425.2270,97.9017
426.1912,98.085
427.1554,98.2358
428.1197,98.3454
429.0839,98.4181
430.0481,98.4691
431.0124,98.5136
431.9766,98.5606
432.9408,98.6183
433.9051,98.7036
434.8693,98.8381
435.8335,99.0269
436.7978,99.2356
437.7620,99.3899
438.7262,99.4066
439.6905,99.2366
440.6547,98.8949
441.6189,98.4642
442.5832,98.0696
443.5474,97.8298
444.5116,97.8064
445.4759,97.9817
446.4401,98.2761
447.4043,98.5842
448.3686,98.8104
449.3328,98.8944
450.2970,98.8253
451.2613,98.639
452.2255,98.394
453.1897,98.1375
454.1540,97.8857
455.1182,97.6308
456.0824,97.3707
457.0467,97.1388
458.0109,97.0053
458.9751,97.037
459.9394,97.2489
460.9036,97.5972
461.8678,98.0123
462.8321,98.4343
463.7963,98.8256
464.7605,99.1652
465.7248,99.4366
466.6890,99.6203
467.6532,99.6979
468.6175,99.6648
469.5817,99.5452
470.5459,99.3975
471.5102,99.3019
472.4744,99.3257
473.4386,99.4839
474.4029,99.7312
475.3671,99.9936
476.3313,100.211
477.2956,100.36
478.2598,100.446
479.2240,100.486
480.1883,100.491
481.1525,100.46
482.1167,100.395
483.0810,100.318
484.0452,100.268
485.0094,100.281
485.9737,100.362
486.9379,100.477
487.9021,100.57
488.8664,100.596
489.8306,100.548
490.7948,100.457
491.7591,100.377
492.7233,100.352
493.6875,100.395
494.6518,100.485
495.6160,100.582
496.5802,100.647
497.5445,100.653
498.5087,100.591
