TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,94.4166
401.1211,94.4758
403.0496,94.6885
404.9781,95.0251
406.9065,95.4116
408.8350,95.7356
410.7635,95.8545
412.6919,95.6396
414.6204,95.0645
416.5489,94.2914
418.4773,93.65
420.4058,93.4525
422.3343,93.7879
424.2627,94.5013
426.1912,95.3394
428.1197,96.0939
430.0481,96.661
431.9766,97.0381
433.9051,97.2909
435.8335,97.5091
437.7620,97.7634
439.6905,98.0782
441.6189,98.4281
443.5474,98.7551
445.4759,99.0002
447.4043,99.1364
449.3328,99.1817
451.2613,99.1881
453.1897,99.215
455.1182,99.304
457.0467,99.4577
458.9751,99.6372
460.9036,99.7831
462.8321,99.8535
464.7605,99.8492
466.6890,99.8141
468.6175,99.811
470.5459,99.8846
472.4744,100.028
474.4029,100.18
476.3313,100.273
478.2598,100.28
480.1883,100.234
482.1167,100.199
484.0452,100.226
485.9737,100.316
487.9021,100.419
489.8306,100.466
491.7591,100.409
493.6875,100.24
495.6160,99.989
497.5445,99.7113
499.4729,99.4683
501.4014,99.3085
503.3299,99.2462
505.2583,99.2489
507.1868,99.2465
509.1153,99.1657
511.0437,98.9692
512.9722,98.6756
514.9007,98.3494
516.8292,98.0667
518.7576,97.8767
520.6861,97.7818
522.6146,97.7455
524.5430,97.719
526.4715,97.667
528.4000,97.5779
530.3284,97.4592
532.2569,97.3262
534.1854,97.193
536.1138,97.0681
538.0423,96.9562
539.9708,96.862
541.8992,96.7939
543.8277,96.7652
545.7562,96.7908
547.6846,96.8811
549.6131,97.0365
551.5416,97.2455
553.4700,97.4884
555.3985,97.7439
557.3270,97.9952
559.2554,98.2339
561.1839,98.4591
563.1124,98.6728
565.0408,98.8746
566.9693,99.0579
568.8978,99.2125
570.8262,99.3328
572.7547,99.426
574.6832,99.5145
576.6116,99.6277
578.5401,99.7869
580.4686,99.9918
582.3970,100.22
584.3255,100.437
586.2540,100.621
588.1824,100.773
590.1109,100.917
592.0394,101.092
593.9678,101.323
595.8963,101.617
597.8248,101.958
