TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,99.4661
400.1569,99.6386
401.1211,100.037
402.0854,100.564
403.0496,101.115
404.0138,101.596
404.9781,101.947
405.9423,102.148
406.9065,102.228
407.8708,102.24
408.8350,102.234
409.7992,102.23
410.7635,102.218
411.7277,102.172
412.6919,102.065
413.6562,101.884
414.6204,101.628
415.5846,101.309
416.5489,100.964
417.5131,100.666
418.4773,100.507
419.4416,100.512
420.4058,100.605
421.3700,100.678
422.3343,100.69
423.2985,100.666
424.2627,100.664
425.2270,100.726
426.1912,100.855
427.1554,101.01
428.1197,101.135
429.0839,101.192
430.0481,101.173
431.0124,101.099
431.9766,101.001
432.9408,100.911
433.9051,100.854
434.8693,100.858
435.8335,100.945
436.7978,101.113
437.7620,101.33
438.7262,101.536
439.6905,101.671
440.6547,101.703
441.6189,101.649
442.5832,101.564
443.5474,101.518
444.5116,101.548
445.4759,101.644
446.4401,101.76
447.4043,101.85
448.3686,101.897
449.3328,101.912
450.2970,101.92
451.2613,101.941
452.2255,101.973
453.1897,101.998
454.1540,101.997
455.1182,101.969
456.0824,101.943
457.0467,101.966
458.0109,102.08
458.9751,102.285
459.9394,102.537
460.9036,102.772
461.8678,102.945
462.8321,103.03
463.7963,103.02
464.7605,102.926
465.7248,102.773
466.6890,102.601
467.6532,102.453
468.6175,102.366
469.5817,102.358
470.5459,102.428
471.5102,102.55
472.4744,102.689
473.4386,102.81
474.4029,102.899
475.3671,102.959
476.3313,103.004
477.2956,103.047
478.2598,103.097
479.2240,103.151
480.1883,103.199
481.1525,103.228
482.1167,103.228
483.0810,103.199
484.0452,103.156
485.0094,103.114
485.9737,103.076
486.9379,103.035
487.9021,102.976
488.8664,102.892
489.8306,102.795
490.7948,102.71
491.7591,102.665
492.7233,102.671
493.6875,102.721
494.6518,102.789
495.6160,102.851
496.5802,102.886
497.5445,102.883
498.5087,102.833
499.4729,102.734
500.4372,102.596
501.4014,102.447
502.3656,102.326
503.3299,102.266
504.2941,102.275
505.2583,102.336
506.2226,102.413
