TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,103.887
401.1211,103.638
403.0496,103.558
404.9781,103.59
406.9065,103.676
408.8350,103.766
410.7635,103.818
412.6919,103.789
414.6204,103.646
416.5489,103.379
418.4773,103.034
420.4058,102.693
422.3343,102.441
424.2627,102.313
426.1912,102.3
428.1197,102.373
430.0481,102.497
431.9766,102.643
433.9051,102.789
435.8335,102.921
437.7620,103.037
439.6905,103.147
441.6189,103.262
443.5474,103.381
445.4759,103.486
447.4043,103.548
449.3328,103.553
451.2613,103.512
453.1897,103.468
455.1182,103.479
457.0467,103.583
458.9751,103.769
460.9036,103.981
462.8321,104.151
464.7605,104.241
466.6890,104.263
468.6175,104.266
470.5459,104.303
472.4744,104.402
474.4029,104.545
476.3313,104.684
478.2598,104.765
480.1883,104.758
482.1167,104.662
484.0452,104.502
485.9737,104.323
487.9021,104.164
489.8306,104.05
491.7591,103.978
493.6875,103.92
495.6160,103.845
497.5445,103.731
499.4729,103.584
501.4014,103.433
503.3299,103.311
505.2583,103.238
507.1868,103.205
509.1153,103.187
511.0437,103.156
512.9722,103.102
514.9007,103.035
516.8292,102.975
518.7576,102.937
520.6861,102.926
522.6146,102.931
524.5430,102.94
526.4715,102.946
528.4000,102.947
530.3284,102.944
532.2569,102.939
534.1854,102.93
536.1138,102.913
538.0423,102.888
539.9708,102.852
541.8992,102.808
543.8277,102.765
545.7562,102.74
547.6846,102.751
549.6131,102.814
551.5416,102.931
553.4700,103.086
555.3985,103.25
557.3270,103.385
559.2554,103.463
561.1839,103.472
563.1124,103.416
565.0408,103.311
566.9693,103.174
568.8978,103.019
570.8262,102.854
572.7547,102.687
574.6832,102.525
576.6116,102.381
578.5401,102.268
580.4686,102.193
582.3970,102.155
584.3255,102.145
586.2540,102.15
588.1824,102.159
590.1109,102.166
592.0394,102.17
593.9678,102.173
595.8963,102.178
597.8248,102.187
599.7532,102.202
601.6817,102.222
603.6102,102.244
605.5386,102.261
607.4671,102.262
609.3956,102.242
611.3240,102.201
613.2525,102.15
615.1810,102.104
