TITLE SAMPLE NAME:,Polyethylene Low Density (bags, packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,97.5719
400.1569,98.1679
401.1211,98.6583
402.0854,98.9734
403.0496,99.1131
404.0138,99.1029
404.9781,98.9725
405.9423,98.7529
406.9065,98.4788
407.8708,98.1854
408.8350,97.8996
409.7992,97.6358
410.7635,97.4012
411.7277,97.2032
412.6919,97.0526
413.6562,96.9596
414.6204,96.9331
415.5846,96.9859
416.5489,97.1412
417.5131,97.4225
418.4773,97.8093
419.4416,98.1955
420.4058,98.4414
421.3700,98.4748
422.3343,98.312
423.2985,98.0189
424.2627,97.6836
425.2270,97.398
426.1912,97.2295
427.1554,97.1969
428.1197,97.2704
429.0839,97.398
430.0481,97.5335
431.0124,97.651
431.9766,97.7407
432.9408,97.7992
433.9051,97.8224
434.8693,97.8067
435.8335,97.7537
436.7978,97.671
437.7620,97.5677
438.7262,97.4522
439.6905,97.3354
440.6547,97.2359
441.6189,97.1765
442.5832,97.1688
443.5474,97.1946
444.5116,97.2089
445.4759,97.1712
446.4401,97.0803
447.4043,96.9827
448.3686,96.9448
449.3328,97.011
450.2970,97.1693
451.2613,97.3482
452.2255,97.4518
453.1897,97.4122
454.1540,97.2261
455.1182,96.9569
456.0824,96.708
457.0467,96.5798
458.0109,96.6199
458.9751,96.7978
459.9394,97.03
460.9036,97.2376
461.8678,97.3825
462.8321,97.4636
463.7963,97.4963
464.7605,97.4947
465.7248,97.4657
466.6890,97.4133
467.6532,97.3474
468.6175,97.2874
469.5817,97.257
470.5459,97.2736
471.5102,97.3365
472.4744,97.4259
473.4386,97.5153
474.4029,97.5914
475.3671,97.6615
476.3313,97.7448
477.2956,97.8578
478.2598,98.0059
479.2240,98.1809
480.1883,98.3651
481.1525,98.5353
482.1167,98.6676
483.0810,98.7427
484.0452,98.7539
485.0094,98.7138
485.9737,98.6502
486.9379,98.5901
487.9021,98.5449
488.8664,98.5067
489.8306,98.4589
490.7948,98.3951
491.7591,98.3316
492.7233,98.3038
493.6875,98.3445
494.6518,98.46
495.6160,98.6215
496.5802,98.7781
497.5445,98.8799
498.5087,98.8984
499.4729,98.8331
500.4372,98.7061
501.4014,98.551
502.3656,98.4008
503.3299,98.2821
504.2941,98.214
505.2583,98.2094
506.2226,98.2709
507.1868,98.386
508.1510,98.5252
509.1153,98.6513
510.0795,98.737
511.0437,98.7783
512.0080,98.7922
512.9722,98.8006
513.9365,98.8139
514.9007,98.8248
515.8649,98.8168
516.8292,98.7822
517.7934,98.7331
518.7576,98.6957
519.7219,98.688
520.6861,98.7041
521.6503,98.719
522.6146,98.7083
523.5788,98.6656
524.5430,98.6082
525.5073,98.567
526.4715,98.565
527.4357,98.601
528.4000,98.6516
529.3642,98.6893
530.3284,98.698
531.2927,98.6761
532.2569,98.6299
533.2211,98.5654
534.1854,98.4858
535.1496,98.397
536.1138,98.3131
537.0781,98.2568
538.0423,98.25
539.0065,98.3012
539.9708,98.3988
540.9350,98.5148
541.8992,98.6165
542.8635,98.6798
543.8277,98.6964
544.7919,98.673
545.7562,98.6265
546.7204,98.5772
547.6846,98.5437
548.6489,98.5392
549.6131,98.5679
550.5773,98.6238
551.5416,98.6917
552.5058,98.7542
553.4700,98.7989
554.4343,98.8231
555.3985,98.8331
556.3627,98.8369
557.3270,98.8383
558.2912,98.8361
559.2554,98.8285
560.2197,98.8188
561.1839,98.8149
562.1481,98.8244
563.1124,98.8475
564.0766,98.8758
565.0408,98.8976
566.0051,98.9065
566.9693,98.9064
567.9335,98.9088
568.8978,98.925
569.8620,98.9576
570.8262,98.9998
571.7905,99.0408
572.7547,99.0722
573.7189,99.0921
574.6832,99.1024
575.6474,99.1049
576.6116,99.0982
577.5759,99.0792
578.5401,99.0473
579.5043,99.0078
580.4686,98.9718
581.4328,98.9516
582.3970,98.9548
583.3613,98.9799
584.3255,99.0173
585.2897,99.0545
586.2540,99.0824
587.2182,99.0991
588.1824,99.1085
589.1467,99.1156
590.1109,99.1219
591.0751,99.1234
592.0394,99.1133
593.0036,99.0878
593.9678,99.0508
594.9321,99.0142
595.8963,98.9928
596.8605,98.9974
597.8248,99.0287
598.7890,99.0759
599.7532,99.1206
600.7175,99.1466
601.6817,99.1475
