TITLE SAMPLE NAME:,Polyethylene Terephthalate (bottles, containers)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,78.909
401.1211,80.0894
403.0496,81.0911
404.9781,81.8746
406.9065,82.4586
408.8350,82.8674
410.7635,83.1024
412.6919,83.1423
414.6204,82.9632
416.5489,82.5692
418.4773,82.0151
420.4058,81.3904
422.3343,80.7683
424.2627,80.1727
426.1912,79.5968
428.1197,79.0443
430.0481,78.5585
431.9766,78.2239
433.9051,78.1396
435.8335,78.376
437.7620,78.9419
439.6905,79.78
441.6189,80.7864
443.5474,81.8353
445.4759,82.8046
447.4043,83.6033
449.3328,84.1917
451.2613,84.584
453.1897,84.8343
455.1182,85.0132
457.0467,85.1793
458.9751,85.3535
460.9036,85.5137
462.8321,85.619
464.7605,85.6432
466.6890,85.5938
468.6175,85.5077
470.5459,85.43
472.4744,85.3878
474.4029,85.3744
476.3313,85.3581
478.2598,85.3038
480.1883,85.1899
482.1167,85.0069
484.0452,84.7486
485.9737,84.4031
487.9021,83.9525
489.8306,83.3811
491.7591,82.6856
493.6875,81.8857
495.6160,81.0352
497.5445,80.2305
499.4729,79.6104
501.4014,79.3302
503.3299,79.5083
505.2583,80.1655
507.1868,81.198
509.1153,82.4094
511.0437,83.5802
512.9722,84.5389
514.9007,85.2037
516.8292,85.5912
518.7576,85.7903
520.6861,85.9148
522.6146,86.0562
524.5430,86.2617
526.4715,86.5378
528.4000,86.8695
530.3284,87.2353
532.2569,87.6128
534.1854,87.9793
536.1138,88.3125
538.0423,88.5953
539.9708,88.8219
541.8992,89
543.8277,89.1471
545.7562,89.2825
547.6846,89.4197
549.6131,89.5625
551.5416,89.7064
553.4700,89.8421
555.3985,89.9583
557.3270,90.0452
559.2554,90.0956
561.1839,90.1073
563.1124,90.0833
565.0408,90.0322
566.9693,89.9663
568.8978,89.8993
570.8262,89.843
572.7547,89.8051
574.6832,89.7883
576.6116,89.7904
578.5401,89.8057
580.4686,89.8265
582.3970,89.8447
584.3255,89.8526
586.2540,89.8445
588.1824,89.8185
590.1109,89.777
592.0394,89.7258
593.9678,89.6709
595.8963,89.6155
597.8248,89.5594
599.7532,89.5013
601.6817,89.441
603.6102,89.3781
605.5386,89.3092
607.4671,89.2246
609.3956,89.1123
611.3240,88.9669
613.2525,88.7983
615.1810,88.6289
617.1094,88.4778
619.0379,88.3405
620.9664,88.1818
622.8948,87.9536
624.8233,87.6286
626.7518,87.2286
628.6802,86.826
630.6087,86.5141
632.5372,86.3581
634.4656,86.357
636.3941,86.4406
638.3226,86.5053
640.2510,86.4641
642.1795,86.2821
644.1080,85.9806
646.0364,85.6137
647.9649,85.2379
649.8934,84.8952
651.8218,84.6115
653.7503,84.3987
655.6788,84.2479
657.6072,84.1213
659.5357,83.9541
661.4642,83.669
663.3926,83.1992
665.3211,82.5215
667.2496,81.698
669.1780,80.8741
671.1065,80.1866
673.0350,79.6609
674.9634,79.226
676.8919,78.8012
678.8204,78.352
680.7488,77.8917
682.6773,77.4485
684.6058,77.0216
686.5342,76.5566
688.4627,75.9599
690.3912,75.1385
692.3196,74.0351
694.2481,72.6455
696.1766,71.0119
698.1050,69.2
700.0335,67.2726
701.9620,65.2727
703.8904,63.2184
705.8189,61.1016
707.7474,58.8853
709.6758,56.5022
711.6043,53.8703
713.5328,50.9362
715.4612,47.7478
717.3897,44.5302
719.3182,41.7094
721.2466,39.8374
723.1751,39.4284
725.1036,40.7898
727.0320,43.9398
728.9605,48.6345
730.8890,54.4624
732.8174,60.9436
734.7459,67.5999
736.6744,73.9921
738.6028,79.7414
740.5313,84.5536
742.4598,88.252
744.3882,90.8069
746.3167,92.3379
748.2452,93.0754
750.1736,93.2903
752.1021,93.2198
754.0306,93.0232
755.9590,92.7768
757.8875,92.4986
759.8160,92.1802
761.7444,91.8109
763.6729,91.3903
765.6014,90.9307
767.5298,90.4538
769.4583,89.9827
771.3868,89.5344
773.3152,89.1148
775.2437,88.7171
777.1722,88.3218
779.1006,87.8967
781.0291,87.4011
782.9576,86.801
784.8860,86.0965
786.8145,85.3483
788.7430,84.6818
790.6714,84.2515
792.5999,84.1757
794.5284,84.4719
796.4568,85.0351
798.3853,85.676
800.3138,86.2022
802.2422,86.4959
