TITLE SAMPLE NAME:,Polypropylene (medicine containers, plastics caps, containers, makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
399.1927,101.781
400.1569,102.382
401.1211,102.764
402.0854,102.947
403.0496,103.021
404.0138,103.051
404.9781,103.036
405.9423,102.927
406.9065,102.694
407.8708,102.39
408.8350,102.155
409.7992,102.138
410.7635,102.383
411.7277,102.759
412.6919,102.998
413.6562,102.849
414.6204,102.216
415.5846,101.215
416.5489,100.155
417.5131,99.4674
418.4773,99.4833
419.4416,100.129
420.4058,100.93
421.3700,101.437
422.3343,101.523
423.2985,101.32
424.2627,101.043
425.2270,100.861
426.1912,100.843
427.1554,100.954
428.1197,101.11
429.0839,101.236
430.0481,101.302
431.0124,101.323
431.9766,101.336
432.9408,101.378
433.9051,101.468
434.8693,101.589
435.8335,101.683
436.7978,101.677
437.7620,101.513
438.7262,101.195
439.6905,100.794
440.6547,100.427
441.6189,100.217
442.5832,100.23
443.5474,100.444
444.5116,100.751
445.4759,101.017
446.4401,101.145
447.4043,101.112
448.3686,100.956
449.3328,100.749
450.2970,100.568
451.2613,100.453
452.2255,100.394
453.1897,100.326
454.1540,100.165
455.1182,99.8539
456.0824,99.4103
457.0467,98.9487
458.0109,98.641
458.9751,98.6231
459.9394,98.9155
460.9036,99.4293
461.8678,100.033
462.8321,100.61
463.7963,101.078
464.7605,101.389
465.7248,101.522
466.6890,101.487
467.6532,101.316
468.6175,101.058
469.5817,100.775
470.5459,100.531
471.5102,100.387
472.4744,100.377
473.4386,100.492
474.4029,100.683
475.3671,100.894
476.3313,101.09
477.2956,101.259
478.2598,101.399
479.2240,101.505
480.1883,101.552
481.1525,101.519
482.1167,101.405
483.0810,101.25
484.0452,101.127
485.0094,101.099
485.9737,101.18
486.9379,101.324
487.9021,101.451
488.8664,101.493
489.8306,101.43
490.7948,101.294
491.7591,101.147
492.7233,101.056
493.6875,101.051
494.6518,101.125
495.6160,101.235
496.5802,101.325
497.5445,101.35
498.5087,101.284
499.4729,101.139
500.4372,100.961
501.4014,100.815
502.3656,100.757
503.3299,100.803
504.2941,100.926
505.2583,101.066
506.2226,101.164
507.1868,101.188
508.1510,101.144
509.1153,101.067
510.0795,100.999
511.0437,100.965
512.0080,100.957
512.9722,100.943
513.9365,100.887
514.9007,100.774
515.8649,100.624
516.8292,100.49
517.7934,100.43
518.7576,100.471
519.7219,100.591
520.6861,100.732
521.6503,100.833
522.6146,100.862
523.5788,100.824
524.5430,100.753
525.5073,100.689
526.4715,100.663
527.4357,100.68
528.4000,100.727
529.3642,100.787
530.3284,100.845
531.2927,100.894
532.2569,100.931
533.2211,100.953
534.1854,100.958
535.1496,100.95
536.1138,100.937
537.0781,100.932
538.0423,100.94
539.0065,100.96
539.9708,100.982
540.9350,100.991
541.8992,100.978
542.8635,100.942
543.8277,100.891
544.7919,100.842
545.7562,100.811
546.7204,100.808
547.6846,100.84
548.6489,100.905
549.6131,100.992
550.5773,101.086
551.5416,101.168
552.5058,101.223
553.4700,101.243
554.4343,101.233
555.3985,101.207
556.3627,101.181
557.3270,101.168
558.2912,101.167
559.2554,101.176
560.2197,101.193
561.1839,101.215
562.1481,101.234
563.1124,101.237
564.0766,101.202
565.0408,101.117
566.0051,100.991
566.9693,100.857
567.9335,100.762
568.8978,100.742
569.8620,100.796
570.8262,100.889
571.7905,100.969
572.7547,100.994
573.7189,100.953
574.6832,100.863
575.6474,100.755
576.6116,100.659
577.5759,100.592
578.5401,100.561
579.5043,100.565
580.4686,100.604
581.4328,100.673
582.3970,100.762
583.3613,100.851
584.3255,100.918
585.2897,100.947
586.2540,100.933
587.2182,100.878
588.1824,100.794
589.1467,100.704
590.1109,100.633
591.0751,100.611
592.0394,100.651
593.0036,100.744
593.9678,100.856
594.9321,100.943
595.8963,100.974
596.8605,100.95
597.8248,100.901
598.7890,100.866
599.7532,100.872
600.7175,100.912
601.6817,100.959
602.6459,100.979
603.6102,100.958
604.5744,100.908
605.5386,100.859
606.5029,100.839
607.4671,100.863
608.4313,100.923
609.3956,100.997
610.3598,101.054
611.3240,101.071
612.2883,101.034
613.2525,100.945
614.2167,100.824
615.1810,100.703
616.1452,100.614
617.1094,100.581
618.0737,100.608
619.0379,100.675
