TITLE SAMPLE NAME:,Polypropylene (medicine containers-plastics caps-containers-makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,93.7169
401.1211,94.3123
403.0496,95.0706
404.9781,95.7736
406.9065,96.2809
408.8350,96.532
410.7635,96.5219
412.6919,96.2847
414.6204,95.8955
416.5489,95.4772
418.4773,95.1777
420.4058,95.1011
422.3343,95.2466
424.2627,95.5248
426.1912,95.8272
428.1197,96.0775
430.0481,96.2427
431.9766,96.3244
433.9051,96.3454
435.8335,96.3373
437.7620,96.3303
439.6905,96.348
441.6189,96.4035
443.5474,96.4927
445.4759,96.59
447.4043,96.6544
449.3328,96.6501
451.2613,96.5718
453.1897,96.4602
455.1182,96.3939
457.0467,96.4512
458.9751,96.6553
460.9036,96.9482
462.8321,97.225
464.7605,97.401
466.6890,97.4591
468.6175,97.4532
470.5459,97.4711
472.4744,97.578
474.4029,97.774
476.3313,98.0005
478.2598,98.1865
480.1883,98.2935
482.1167,98.3283
484.0452,98.3279
485.9737,98.3316
487.9021,98.3593
489.8306,98.4041
491.7591,98.4414
493.6875,98.4432
495.6160,98.3928
497.5445,98.293
499.4729,98.1684
501.4014,98.0567
503.3299,97.9913
505.2583,97.9815
507.1868,98.0042
509.1153,98.0167
511.0437,97.9821
512.9722,97.8922
514.9007,97.7731
516.8292,97.6718
518.7576,97.6296
520.6861,97.6591
522.6146,97.741
524.5430,97.8401
526.4715,97.9276
528.4000,97.9934
530.3284,98.0435
532.2569,98.0877
534.1854,98.1287
536.1138,98.1591
538.0423,98.1679
539.9708,98.1492
541.8992,98.1087
543.8277,98.0639
545.7562,98.0382
547.6846,98.0526
549.6131,98.1183
551.5416,98.2323
553.4700,98.3776
555.3985,98.5276
557.3270,98.6532
559.2554,98.7321
561.1839,98.7544
563.1124,98.7249
565.0408,98.6579
566.9693,98.5701
568.8978,98.4729
570.8262,98.3719
572.7547,98.2704
574.6832,98.1755
576.6116,98.0996
578.5401,98.0554
580.4686,98.0473
582.3970,98.0651
584.3255,98.0876
586.2540,98.0933
588.1824,98.0725
590.1109,98.0322
592.0394,97.9895
