TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,97.9527
401.1211,98.4295
403.0496,99.0781
404.9781,99.7335
406.9065,100.255
408.8350,100.554
410.7635,100.6
412.6919,100.412
414.6204,100.067
416.5489,99.693
418.4773,99.4363
420.4058,99.3922
422.3343,99.5565
424.2627,99.8446
426.1912,100.157
428.1197,100.425
430.0481,100.626
431.9766,100.772
433.9051,100.885
435.8335,100.982
437.7620,101.069
439.6905,101.145
441.6189,101.216
443.5474,101.291
445.4759,101.37
447.4043,101.43
449.3328,101.437
451.2613,101.369
453.1897,101.245
455.1182,101.131
457.0467,101.116
458.9751,101.253
460.9036,101.525
462.8321,101.846
464.7605,102.117
466.6890,102.278
468.6175,102.328
470.5459,102.319
472.4744,102.315
474.4029,102.361
476.3313,102.456
478.2598,102.572
480.1883,102.67
482.1167,102.726
484.0452,102.739
485.9737,102.724
487.9021,102.708
489.8306,102.708
491.7591,102.728
493.6875,102.751
495.6160,102.752
497.5445,102.709
499.4729,102.621
501.4014,102.512
503.3299,102.415
505.2583,102.355
507.1868,102.338
509.1153,102.343
511.0437,102.344
512.9722,102.322
514.9007,102.276
516.8292,102.218
518.7576,102.171
520.6861,102.153
522.6146,102.172
524.5430,102.227
526.4715,102.312
528.4000,102.414
530.3284,102.518
532.2569,102.609
534.1854,102.676
536.1138,102.716
538.0423,102.733
539.9708,102.734
541.8992,102.73
543.8277,102.73
545.7562,102.747
547.6846,102.793
549.6131,102.879
551.5416,103.007
553.4700,103.164
555.3985,103.321
557.3270,103.445
559.2554,103.509
561.1839,103.505
563.1124,103.443
565.0408,103.345
566.9693,103.233
568.8978,103.122
570.8262,103.016
572.7547,102.915
574.6832,102.821
576.6116,102.742
578.5401,102.689
580.4686,102.667
582.3970,102.673
584.3255,102.69
586.2540,102.701
588.1824,102.698
590.1109,102.683
592.0394,102.669
593.9678,102.666
595.8963,102.68
597.8248,102.708
599.7532,102.743
601.6817,102.78
603.6102,102.815
605.5386,102.838
607.4671,102.837
609.3956,102.801
611.3240,102.729
