TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
399.1927,86.7779
401.1211,87.0758
403.0496,87.4487
404.9781,87.8967
406.9065,88.3844
408.8350,88.8399
410.7635,89.1547
412.6919,89.2109
414.6204,88.9498
416.5489,88.4543
418.4773,87.9618
420.4058,87.7418
422.3343,87.9226
424.2627,88.4394
426.1912,89.1233
428.1197,89.814
430.0481,90.4181
431.9766,90.9187
433.9051,91.3575
435.8335,91.8014
437.7620,92.3039
439.6905,92.8755
441.6189,93.4743
443.5474,94.0246
445.4759,94.4569
447.4043,94.7472
449.3328,94.9267
451.2613,95.0589
453.1897,95.2036
455.1182,95.3904
457.0467,95.6085
458.9751,95.8172
460.9036,95.9714
462.8321,96.0471
464.7605,96.0518
466.6890,96.0191
468.6175,95.9947
470.5459,96.0136
472.4744,96.0756
474.4029,96.138
476.3313,96.1417
478.2598,96.0539
480.1883,95.8932
482.1167,95.7215
484.0452,95.6093
485.9737,95.5982
487.9021,95.6805
489.8306,95.8081
491.7591,95.9215
493.6875,95.9797
495.6160,95.9761
497.5445,95.9369
499.4729,95.9066
501.4014,95.9255
503.3299,96.0063
505.2583,96.1216
507.1868,96.2142
509.1153,96.2276
511.0437,96.1386
512.9722,95.9714
514.9007,95.7858
516.8292,95.6481
518.7576,95.5994
520.6861,95.6393
522.6146,95.7323
524.5430,95.8294
526.4715,95.8896
528.4000,95.8908
530.3284,95.8294
532.2569,95.7143
534.1854,95.5603
536.1138,95.3839
538.0423,95.2017
539.9708,95.0307
541.8992,94.8882
543.8277,94.7889
545.7562,94.7416
547.6846,94.7457
549.6131,94.7907
551.5416,94.8592
553.4700,94.9303
555.3985,94.9832
557.3270,94.9983
559.2554,94.9596
561.1839,94.8567
563.1124,94.6867
565.0408,94.4523
566.9693,94.1593
568.8978,93.8137
570.8262,93.4234
572.7547,93.0012
574.6832,92.5659
576.6116,92.1379
578.5401,91.73
580.4686,91.3393
582.3970,90.9459
584.3255,90.5206
586.2540,90.0349
588.1824,89.4683
590.1109,88.8055
592.0394,88.0283
